Field,Forename,Number of Records
Bride Forename,*rah,2
Bride Forename,*raria,2
Bride Forename,*ratricia,1
Bride Forename,*ren?,1
Bride Forename,*res,1
Bride Forename,*ret,1
Bride Forename,*rett,1
Bride Forename,*rey,1
Bride Forename,*rfilla,1
Bride Forename,*rgit,1
Bride Forename,*rgret,1
Bride Forename,*ria,2
Bride Forename,*riah,1
Bride Forename,*rie,2
Bride Forename,*rieta,1
Bride Forename,*rine,1
Bride Forename,*ring,1
Bride Forename,*ris,1
Bride Forename,*roth,1
Bride Forename,*rry,1
Bride Forename,*rs*lla,1
Bride Forename,*rsle,1
Bride Forename,*rsley,1
Bride Forename,*rt,1
Bride Forename,*rtime,2
Bride Forename,*ry,8
Bride Forename,*ryphene,1
Bride Forename,*s,2
Bride Forename,*s*,2
Bride Forename,*s_er,1
Bride Forename,*sa,2
Bride Forename,*sabe*,1
Bride Forename,*sabell,1
Bride Forename,*saly,1
Bride Forename,*san,3
Bride Forename,*sanna,1
Bride Forename,*sbeth,1
Bride Forename,*se,2
Bride Forename,*sh*,1
Bride Forename,*she,1
Bride Forename,*sias,1
Bride Forename,*sibell,1
Bride Forename,*sie,1
Bride Forename,*sil*,1
Bride Forename,*sina,1
Bride Forename,*son,1
Bride Forename,*ssline,1
Bride Forename,*st,1
Bride Forename,*st*,1
Bride Forename,*stain,1
Bride Forename,*ster,1
Bride Forename,*ster?,2
Bride Forename,*sula,1
Bride Forename,*sy,2
Bride Forename,*t,1
Bride Forename,*ta,1
Bride Forename,*tces,1
Bride Forename,*te,3
Bride Forename,*th,7
Bride Forename,*tha,1
Bride Forename,*thaye,1
Bride Forename,*they,1
Bride Forename,*thia,1
Bride Forename,*thye,1
Bride Forename,*tt,1
Bride Forename,*tty,3
Bride Forename,*ub***,1
Bride Forename,*uc*etia,1
Bride Forename,*uld,1
Bride Forename,*uliana,1
Bride Forename,*unamik,1
Bride Forename,*une,1
Bride Forename,*uriell,1
Bride Forename,*urstie,1
Bride Forename,*urty,1
Bride Forename,*wed,1
Bride Forename,*y,8
Bride Forename,*y*,1
Bride Forename,*yane?,1
Bride Forename,*ye,1
Bride Forename,*ylyne,1
Bride Forename,*yme,1
Bride Forename,*yneta,1
Bride Forename,*yrd?,1
Bride Forename,*yth,1
Bride Forename,*za,2
Bride Forename,*zabeth,3
Bride Forename,*zah,1
Bride Forename,,Argerie,1
Bride Forename,,Maey,1
Bride Forename,,Mary,1
Bride Forename,,aria,1
Bride Forename,,artha,1
Bride Forename,,ary,4
Bride Forename,,iriam,1
Bride Forename,-,269
Bride Forename,- - Hy,1
Bride Forename,- Mris,1
Bride Forename,--,5
Bride Forename,---,4
Bride Forename,----,21
Bride Forename,-----,41
Bride Forename,------,25
Bride Forename,-------,11
Bride Forename,--------,1
Bride Forename,---------,2
Bride Forename,-----------,1
Bride Forename,--------------,1
Bride Forename,---------------,1
Bride Forename,--------------------,1
Bride Forename,---------------------------------------,1
Bride Forename,-----e,1
Bride Forename,-----leas,1
Bride Forename,----abell,1
Bride Forename,---garett,1
Bride Forename,---ith,1
Bride Forename,---na???? <? Florence>,1
Bride Forename,--n-lo-e,1
Bride Forename,--nch,1
Bride Forename,--nna,1
Bride Forename,-at-,1
Bride Forename,-erally,1
Bride Forename,-ere?,1
Bride Forename,. . .,1
Bride Forename,. . . .,1
Bride Forename,..,1
Bride Forename,...,7
Bride Forename,.....,2
Bride Forename,......,2
Bride Forename,.......,1
Bride Forename,........,2
Bride Forename,.........,3
Bride Forename,..........,3
Bride Forename,..............,1
Bride Forename,....arett,1
Bride Forename,...an,1
Bride Forename,...ne,1
Bride Forename,...on,1
Bride Forename,...y,1
Bride Forename,...y?,1
Bride Forename,..as,1
Bride Forename,..rede?,1
Bride Forename,..th?,1
Bride Forename,..thea,1
Bride Forename,..y,1
Bride Forename,..yz,1
Bride Forename,.?,1
Bride Forename,.Ann,1
Bride Forename,.Jane,1
Bride Forename,.Mary,2
Bride Forename,.Sarah,2
Bride Forename,.Thomas Ab,1
Bride Forename,.ana,1
Bride Forename,.ann,1
Bride Forename,0,1
Bride Forename,1frances,2
